"vehicleid","date","start_rounded","finish_rounded","tripid"
4521,"2020-08-06","17:25:00","18:10:00",43819917
4523,"2020-08-03","08:45:00","09:15:00",44298636
4523,"2020-08-05","07:25:00","07:40:00",43820367
4523,"2020-08-06","07:40:00","07:50:00",41981044
4523,"2020-08-06","08:50:00","09:00:00",41981011
4524,"2020-08-03","17:45:00","17:55:00",41980942
4524,"2020-08-05","06:20:00","06:30:00",41981172
4524,"2020-08-05","07:15:00","07:25:00",41981009
4524,"2020-08-06","08:05:00","08:15:00",41981068
4524,"2020-08-06","16:20:00","16:30:00",41981112
4524,"2020-08-07","07:05:00","07:40:00",44298709
4525,"2020-08-05","17:35:00","17:45:00",41980915
4526,"2020-08-04","17:00:00","17:30:00",43820060
4527,"2020-08-03","06:15:00","06:20:00",41981004
4527,"2020-08-03","06:35:00","06:50:00",43820500
4527,"2020-08-04","06:05:00","06:15:00",44298624
4528,"2020-08-05","06:50:00","07:00:00",41981369
4530,"2020-08-06","17:10:00","17:20:00",41981322
4530,"2020-08-07","06:25:00","06:30:00",43820593
4531,"2020-08-05","07:45:00","08:25:00",44447652
4531,"2020-08-05","16:30:00","16:40:00",43819979
4532,"2020-08-03","07:30:00","07:35:00",44447657
4532,"2020-08-03","07:45:00","08:25:00",44447652
4532,"2020-08-04","16:50:00","16:55:00",43820424
4532,"2020-08-04","17:55:00","18:00:00",43820324
4533,"2020-08-03","17:45:00","18:25:00",43820007
4533,"2020-08-06","07:35:00","07:50:00",43820642
4534,"2020-08-03","06:10:00","06:20:00",41981478
4534,"2020-08-03","08:15:00","08:20:00",41981087
4535,"2020-08-03","08:00:00","08:15:00",41981068
4535,"2020-08-03","16:25:00","16:35:00",41981112
4535,"2020-08-04","08:05:00","08:10:00",41981032
4535,"2020-08-04","16:40:00","16:50:00",41981316
4535,"2020-08-05","06:30:00","06:40:00",41980986
4536,"2020-08-03","06:00:00","06:30:00",44298687
4536,"2020-08-03","16:35:00","16:40:00",44298692
4539,"2020-08-03","17:25:00","17:35:00",41980926
4540,"2020-08-04","17:40:00","17:50:00",41980915
4541,"2020-08-05","17:55:00","18:05:00",41980933
4541,"2020-08-06","06:15:00","06:20:00",41981004
4541,"2020-08-07","16:35:00","16:45:00",41981316
4544,"2020-08-03","08:45:00","08:50:00",43820473
4544,"2020-08-04","08:00:00","08:30:00",44298635
4544,"2020-08-06","08:25:00","08:40:00",43820237
4544,"2020-08-06","16:45:00","16:50:00",43820588
4545,"2020-08-03","06:10:00","06:20:00",41981021
4545,"2020-08-03","16:45:00","16:55:00",41981296
4545,"2020-08-07","07:50:00","07:55:00",41980872
4546,"2020-08-04","07:35:00","07:50:00",43820642
4546,"2020-08-04","17:45:00","17:50:00",43820459
4547,"2020-08-03","07:50:00","07:55:00",41981036
4547,"2020-08-04","08:00:00","08:35:00",44298688
4549,"2020-08-04","07:45:00","08:15:00",44447652
4549,"2020-08-04","16:30:00","16:35:00",43819979
4549,"2020-08-04","17:25:00","18:05:00",44298754
4549,"2020-08-07","08:35:00","08:40:00",41981362
4551,"2020-08-04","06:35:00","06:50:00",43820500
4552,"2020-08-03","06:20:00","06:30:00",44298796
4552,"2020-08-03","17:20:00","17:30:00",43820037
4552,"2020-08-04","06:50:00","07:00:00",41981369
4552,"2020-08-04","07:55:00","08:05:00",41981105
4552,"2020-08-05","17:00:00","17:40:00",43819898
4552,"2020-08-07","07:00:00","07:25:00",44298627
4555,"2020-08-06","07:00:00","07:15:00",43820358
4555,"2020-08-06","16:55:00","17:00:00",43820563
4558,"2020-08-06","06:05:00","06:25:00",44298736
4558,"2020-08-06","06:20:00","06:50:00",44298738
4559,"2020-08-03","08:50:00","08:55:00",41981116
4559,"2020-08-07","07:00:00","07:05:00",41981024
4560,"2020-08-03","07:00:00","07:20:00",43820358
4560,"2020-08-03","17:00:00","17:05:00",43820563
4560,"2020-08-04","06:20:00","06:25:00",41981172
4560,"2020-08-04","17:35:00","17:45:00",41980996
4560,"2020-08-05","16:05:00","16:10:00",41981333
4561,"2020-08-03","17:10:00","17:25:00",44298829
4561,"2020-08-04","06:15:00","06:30:00",43820659
4561,"2020-08-04","16:20:00","16:25:00",43820645
4561,"2020-08-05","17:55:00","18:00:00",41981286
4561,"2020-08-06","16:55:00","17:00:00",41981028
4562,"2020-08-03","06:05:00","06:35:00",44298671
4562,"2020-08-03","06:55:00","07:25:00",44298668
4562,"2020-08-04","07:55:00","08:05:00",41981107
4562,"2020-08-04","17:05:00","17:15:00",41981322
4563,"2020-08-06","06:35:00","06:45:00",41981081
4563,"2020-08-06","08:50:00","09:00:00",41981116
4601,"2020-08-03","07:10:00","07:15:00",34746500
4601,"2020-08-03","07:10:00","07:25:00",41432693
4601,"2020-08-05","06:20:00","06:25:00",41432695
4601,"2020-08-05","07:35:00","07:40:00",34746460
4604,"2020-08-07","06:05:00","06:15:00",41441211
4604,"2020-08-07","08:05:00","08:25:00",41432692
4605,"2020-08-05","17:45:00","17:55:00",41432704
4606,"2020-08-03","06:10:00","06:20:00",41441211
4607,"2020-08-04","07:35:00","07:45:00",41441210
4607,"2020-08-06","06:55:00","07:05:00",34746537
4608,"2020-08-03","16:40:00","16:55:00",41441225
4608,"2020-08-04","16:40:00","16:50:00",34746518
4608,"2020-08-06","17:45:00","17:50:00",34746520
4609,"2020-08-05","07:10:00","07:25:00",41432693
4610,"2020-08-04","08:05:00","08:15:00",34746502
6020,"2020-08-05","06:15:00","06:25:00",40422170
6020,"2020-08-05","17:50:00","18:10:00",40422331
6020,"2020-08-06","17:35:00","17:55:00",40422330
6020,"2020-08-06","17:45:00","18:15:00",40422331
6020,"2020-08-07","07:35:00","07:45:00",40422171
6022,"2020-08-03","08:35:00","08:50:00",40422195
6022,"2020-08-04","07:45:00","08:05:00",40422177
6022,"2020-08-05","06:30:00","06:35:00",40422200
6022,"2020-08-06","06:35:00","06:45:00",40422201
6023,"2020-08-03","08:15:00","08:30:00",40422249
6023,"2020-08-04","06:35:00","06:45:00",40422201
6023,"2020-08-05","07:20:00","07:35:00",40422184
6023,"2020-08-05","16:40:00","16:55:00",40422213
6025,"2020-08-07","06:45:00","06:55:00",40422175
6025,"2020-08-07","16:05:00","16:30:00",40422246
6026,"2020-08-07","06:05:00","06:15:00",40422208
6026,"2020-08-07","07:30:00","07:45:00",40422207
6027,"2020-08-05","16:10:00","16:40:00",40422264
