OBJECTID,CHANGE_NUM,MINOR_CHAN,CURRENT_NE,IN_SERVICE,ROUTE_ID,LOCAL_EXPR,ROUTE_NUM,SHAPE_Leng
"619","144","0",NEXT,N,"100487",L,"102",192450.837606118
"648","144","0",NEXT,N,"100459",L,"218",198942.078704981
"661","144","0",NEXT,N,"102639",E,"63",74840.1014681018
"10","143","10",IN SERVICE,Y,"100012",L,"113",96884.1983386657
"14","143","10",IN SERVICE,Y,"100018",L,"12",24605.0488489461
"16","143","10",IN SERVICE,Y,"100021",L,"122",180631.34826785
"20","143","10",IN SERVICE,Y,"100019",L,"120",115312.082131084
"21","143","10",IN SERVICE,Y,"100020",L,"121",177355.595474519
"22","143","10",IN SERVICE,Y,"100022",L,"123",132924.294282136
"24","143","10",IN SERVICE,Y,"100024",L,"125",81157.5748605921
"26","143","10",IN SERVICE,Y,"100028",L,"13",42291.6135399267
"29","143","10",IN SERVICE,Y,"100044",E,"15",59904.7587886703
"31","143","10",IN SERVICE,Y,"100039",L,"14",43358.4948477741
"46","143","10",IN SERVICE,Y,"100071",E,"18",63319.2005804331
"47","143","10",IN SERVICE,Y,"100062",E,"17",59736.4988297205
"58","143","10",IN SERVICE,Y,"100089",L,"2",64395.4239455765
"61","143","10",IN SERVICE,Y,"100101",E,"21",101912.351338284
"94","143","10",IN SERVICE,Y,"100212",L,"37",71068.7694006662
"98","143","10",IN SERVICE,Y,"100238",L,"55",84540.4400390067
"105","143","10",IN SERVICE,Y,"100219",L,"4",61932.0205386892
"118","143","10",IN SERVICE,Y,"100242",L,"56",74452.9548207066
"119","143","10",IN SERVICE,Y,"100173",L,"3",55665.8658288568
"123","143","10",IN SERVICE,Y,"100246",L,"57",85909.0488348281
"148","143","10",IN SERVICE,Y,"100264",L,"70",51440.9459530013
"197","143","10",IN SERVICE,Y,"102572",L,"29",66547.4584939896
"199","143","10",IN SERVICE,Y,"102574",L,"40",100090.729627908
"201","143","10",IN SERVICE,Y,"100350",E,"994",148624.547079933
"207","143","10",IN SERVICE,Y,"102576",L,"673",101530.080753104
"210","143","10",IN SERVICE,Y,"102581",L,"674",70933.6988314235
"213","143","11",CURRENT,N,"100018",L,"12",24605.0488489461
"214","143","11",CURRENT,N,"100020",L,"121",171079.029184178
"226","143","11",CURRENT,N,"100044",E,"15",59904.7587886703
"227","143","11",CURRENT,N,"100021",L,"122",174354.781977508
"229","143","11",CURRENT,N,"100062",E,"17",59736.4988297205
"230","143","11",CURRENT,N,"100022",L,"123",126647.727991795
"237","143","11",CURRENT,N,"100024",L,"125",79280.5509091257
"244","143","11",CURRENT,N,"100012",L,"113",90607.6320483242
"247","143","11",CURRENT,N,"100028",L,"13",42291.6135399267
"264","143","11",CURRENT,N,"100039",L,"14",43358.4948477741
"267","143","11",CURRENT,N,"100019",L,"120",110171.237855307
"288","143","11",CURRENT,N,"100101",E,"21",96771.5070625074
"291","143","11",CURRENT,N,"100071",E,"18",63319.2005804331
"304","143","11",CURRENT,N,"100089",L,"2",64395.4239455765
"318","143","11",CURRENT,N,"100212",L,"37",68803.1470879186
"322","143","11",CURRENT,N,"100238",L,"55",79399.5957632303
"329","143","11",CURRENT,N,"100219",L,"4",61932.0205386892
"342","143","11",CURRENT,N,"100242",L,"56",69312.1105449302
"343","143","11",CURRENT,N,"100173",L,"3",55665.8658288568
"347","143","11",CURRENT,N,"100246",L,"57",80768.2045590516
"372","143","11",CURRENT,N,"100264",L,"70",51440.9459530013
"421","143","11",CURRENT,N,"102572",L,"29",66547.4584939896
"423","143","11",CURRENT,N,"102574",L,"40",100090.729627908
"425","143","11",CURRENT,N,"100350",E,"994",148624.547079933
"431","143","11",CURRENT,N,"102576",L,"673",96389.2364778177
"434","143","11",CURRENT,N,"102581",L,"674",70933.6988314235
"437","144","0",NEXT,N,"100018",L,"12",24605.0488489461
"438","144","0",NEXT,N,"100020",L,"121",171079.029184178
"452","144","0",NEXT,N,"100021",L,"122",174354.781977508
"453","144","0",NEXT,N,"100044",E,"15",59904.7587886703
"454","144","0",NEXT,N,"100022",L,"123",126647.727991795
"456","144","0",NEXT,N,"100062",E,"17",59736.4988297205
"460","144","0",NEXT,N,"100024",L,"125",79280.5509091257
"467","144","0",NEXT,N,"100012",L,"113",90607.6320483242
"471","144","0",NEXT,N,"100028",L,"13",42291.6135399267
"490","144","0",NEXT,N,"100019",L,"120",110171.237855307
"491","144","0",NEXT,N,"100039",L,"14",43358.4948477741
"517","144","0",NEXT,N,"100101",E,"21",96771.5070625074
"520","144","0",NEXT,N,"100071",E,"18",63319.2005804331
"530","144","0",NEXT,N,"100173",L,"3",55665.8658288568
"533","144","0",NEXT,N,"100089",L,"2",64395.4239455765
"560","144","0",NEXT,N,"100264",L,"70",51000.5267778732
"568","144","0",NEXT,N,"100212",L,"37",68803.1470879186
"572","144","0",NEXT,N,"100238",L,"55",79308.6095974629
"579","144","0",NEXT,N,"100219",L,"4",61932.0205386892
"592","144","0",NEXT,N,"100242",L,"56",69100.0631630404
"597","144","0",NEXT,N,"100246",L,"57",80556.1571771619
"612","144","0",NEXT,N,"102572",L,"29",66547.4584939896
"616","144","0",NEXT,N,"102574",L,"40",100090.729627908
"621","144","0",NEXT,N,"102576",L,"673",96389.2364778177
"623","144","0",NEXT,N,"102581",L,"674",70933.6988151502
"625","144","0",NEXT,N,"100350",E,"994",148624.547079933
"176","143","10",IN SERVICE,Y,"100340",L,"98",10163.8196854708
"400","143","11",CURRENT,N,"100340",L,"98",10163.8196854708
"656","144","0",NEXT,N,"100340",L,"98",10163.8196854708
"149","143","10",IN SERVICE,Y,"100495",E,"193",257129.254212088
"373","143","11",CURRENT,N,"100495",E,"193",257129.254212088
"626","144","0",NEXT,N,"100495",E,"193",257129.254212088
"41","143","10",IN SERVICE,Y,"100059",L,"167",205195.560859221
"96","143","10",IN SERVICE,Y,"100265",L,"71",56477.2972565258
"99","143","10",IN SERVICE,Y,"100267",L,"73",55149.2953990078
"101","143","10",IN SERVICE,Y,"100215",E,"373",84647.7682050744
"106","143","10",IN SERVICE,Y,"100269",L,"75",81706.0520363084
"107","143","10",IN SERVICE,Y,"100193",L,"32",65842.257773088
"117","143","10",IN SERVICE,Y,"100224",L,"44",40292.0197553501
"121","143","10",IN SERVICE,Y,"100225",L,"45",63303.8121994828
"139","143","10",IN SERVICE,Y,"100254",L,"65",69604.8911477622
